,CodeGraph,TreeGraph,Precision,Recall,F1
0,CodeBERT,deepwalk_cg,0.235933584,0.415880231,0.253708876
1,CodeBERT,grarep_cg,0.208951049,0.414404762,0.264774693
2,CodeBERT,line_cg,0.079967949,0.121558442,0.094398295
3,CodeBERT,node2vec_cg,0.198286976,0.495577201,0.258418527
4,CodeBERT,prone_cg,0.145762597,0.325642136,0.190748715
5,CodeBERT,sdne_cg,0.176608514,0.358682984,0.224616381
6,CodeBERT,walklets_cg,0.210054668,0.396468254,0.26208077
7,CodeGPT,deepwalk_cg,0.206096681,0.253665224,0.220538666
8,CodeGPT,grarep_cg,0.153076352,0.352301587,0.198423398
9,CodeGPT,line_cg,0.076042862,0.176587302,0.103497646
10,CodeGPT,node2vec_cg,0.204328837,0.390382395,0.253869712
11,CodeGPT,prone_cg,0.112568681,0.32476912,0.142874801
12,CodeGPT,sdne_cg,0.194217875,0.4529662,0.258333727
13,CodeGPT,walklets_cg,0.176732215,0.407738095,0.238109404
14,CodeT5,deepwalk_cg,0.116927191,0.249372294,0.153107772
15,CodeT5,grarep_cg,0.104443097,0.257738095,0.144419954
16,CodeT5,line_cg,0.077000526,0.208015873,0.109602342
17,CodeT5,node2vec_cg,0.14504551,0.411558442,0.189029958
18,CodeT5,prone_cg,0.091769517,0.166002886,0.103459251
19,CodeT5,sdne_cg,0.129499389,0.243758741,0.164887897
20,CodeT5,walklets_cg,0.081304529,0.148174603,0.104567736
21,CoTexT,deepwalk_cg,0.162659465,0.37508658,0.196671425
22,CoTexT,grarep_cg,0.105535714,0.148571429,0.113492063
23,CoTexT,line_cg,0.061857207,0.133217893,0.079856322
24,CoTexT,node2vec_cg,0.176075001,0.391796537,0.218917183
25,CoTexT,prone_cg,0.110170024,0.248621934,0.144442408
26,CoTexT,sdne_cg,0.124945636,0.260052448,0.164653462
27,CoTexT,walklets_cg,0.136612174,0.23718254,0.164400178
28,GraphCodeBERT,deepwalk_cg,0.144352118,0.301753247,0.186353867
29,GraphCodeBERT,grarep_cg,0.113907563,0.259285714,0.152220084
30,GraphCodeBERT,line_cg,0.056929825,0.126363636,0.078381146
31,GraphCodeBERT,node2vec_cg,0.242344029,0.421601732,0.275801234
32,GraphCodeBERT,prone_cg,0.123663462,0.303261183,0.166688041
33,GraphCodeBERT,sdne_cg,0.09390237,0.222657343,0.12632562
34,GraphCodeBERT,walklets_cg,0.141369048,0.280793651,0.177063728
35,PLBART,deepwalk_cg,0.204716344,0.36992785,0.225136541
36,PLBART,grarep_cg,0.205245624,0.432261905,0.270180824
37,PLBART,line_cg,0.094941988,0.321399711,0.132108938
38,PLBART,node2vec_cg,0.219293346,0.413109668,0.245151006
39,PLBART,prone_cg,0.092554945,0.182828283,0.116203881
40,PLBART,sdne_cg,0.120093862,0.25534965,0.1593509
41,PLBART,walklets_cg,0.162857143,0.406230159,0.22030095
