,CodeGraph,TreeGraph,Prec,Recall,F1
0,CodeBERT,deepwalk_cg,0.191538524,0.517157287,0.233382365
1,CodeBERT,grarep_cg,0.442222222,0.26484127,0.305639361
2,CodeBERT,line_cg,0.1,0.009090909,0.016666667
3,CodeBERT,node2vec_cg,0.167514391,0.630620491,0.246800661
4,CodeBERT,prone_cg,0.268073593,0.146955267,0.176126374
5,CodeBERT,sdne_cg,0.2425,0.304592075,0.234935065
6,CodeBERT,walklets_cg,0.248134921,0.316468254,0.276091686
7,CodeGPT,deepwalk_cg,0.16186413,0.467994228,0.217131248
8,CodeGPT,grarep_cg,0.458333333,0.183730159,0.240714286
9,CodeGPT,line_cg,0,0,0
10,CodeGPT,node2vec_cg,0.143391068,0.364660895,0.191575218
11,CodeGPT,prone_cg,0.175,0.033376623,0.051748252
12,CodeGPT,sdne_cg,0.298571429,0.223566434,0.240815263
13,CodeGPT,walklets_cg,0.2225,0.153452381,0.177836853
14,CodeT5,deepwalk_cg,0.148461434,0.622792208,0.226551753
15,CodeT5,grarep_cg,0.286507937,0.281904762,0.267512488
16,CodeT5,line_cg,0.12,0.019090909,0.03
17,CodeT5,node2vec_cg,0.152629788,0.65041847,0.233788337
18,CodeT5,prone_cg,0.164761905,0.108571429,0.128865546
19,CodeT5,sdne_cg,0.184665335,0.291258741,0.214317711
20,CodeT5,walklets_cg,0.138102269,0.624365079,0.218340502
21,CoTexT,deepwalk_cg,0.145596779,0.621327561,0.224656298
22,CoTexT,grarep_cg,0.306277056,0.273015873,0.263395493
23,CoTexT,line_cg,0.080357143,0.048383838,0.05982906
24,CoTexT,node2vec_cg,0.1410712,0.536334776,0.217853602
25,CoTexT,prone_cg,0.24,0.103578644,0.141190476
26,CoTexT,sdne_cg,0.181755051,0.270052448,0.207836361
27,CoTexT,walklets_cg,0.131827342,0.420793651,0.196007499
28,GraphCodeBERT,deepwalk_cg,0.162466093,0.517041847,0.238150717
29,GraphCodeBERT,grarep_cg,0.421666667,0.241230159,0.274848485
30,GraphCodeBERT,line_cg,0.066666667,0.02,0.030769231
31,GraphCodeBERT,node2vec_cg,0.152022682,0.52041847,0.228730699
32,GraphCodeBERT,prone_cg,0.174285714,0.097864358,0.115714286
33,GraphCodeBERT,sdne_cg,0.247857143,0.303193473,0.248309745
34,GraphCodeBERT,walklets_cg,0.141499203,0.266626984,0.180822645
35,PLBART,deepwalk_cg,0,0,0
36,PLBART,grarep_cg,0,0,0
37,PLBART,line_cg,0,0,0
38,PLBART,node2vec_cg,0.288333333,0.142308802,0.181428571
39,PLBART,prone_cg,0.05,0.01,0.016666667
40,PLBART,sdne_cg,0.183333333,0.102167832,0.125940171
41,PLBART,walklets_cg,0.26,0.190833333,0.209586466
